nu0_cm^-1,isolated,nearest_line_distance_cm^-1,T_K,P_atm,gamma_ref_cm^-1@Tref,n_exp,instr_fwhm_cm^-1,sigma_g_fit,gamma_l_fit,fwhm_g_fit,fwhm_l_fit,chi2_ndf
7181.155657,False,0.03305000000000291,250.0,0.2,0.0997,0.76,0.1,0.008201651136837823,0.02265974156697913,0.01931341249937658,0.04531948313395826,1.0143146021176905
7181.155657,False,0.03305000000000291,300.0,0.2,0.0997,0.76,0.1,0.008948204982099093,0.019736330313521133,0.02107141245889275,0.039472660627042265,1.0069097517949261
7181.155657,False,0.03305000000000291,350.0,0.2,0.0997,0.76,0.1,0.009742626415855521,0.017525498765919443,0.022942131975304616,0.035050997531838886,0.9918806599560663
7181.155657,False,0.03305000000000291,400.0,0.2,0.0997,0.76,0.1,0.01018783686783449,0.015898970012176366,0.02399052247188198,0.03179794002435273,0.9830304811466831
7181.155657,False,0.03305000000000291,500.0,0.2,0.0997,0.76,0.1,0.011448462000123122,0.013415319903848163,0.026959067802665042,0.026830639807696326,1.0484519746611862
7181.155657,False,0.03305000000000291,700.0,0.2,0.0997,0.76,0.1,0.013600861209409572,0.010367866063294236,0.03202758060560154,0.020735732126588472,0.9686773188501873
7181.155657,False,0.03305000000000291,250.0,0.5,0.0997,0.76,0.1,0.008182441095564529,0.05664435344312021,0.019268176309120356,0.11328870688624042,1.0199626995049726
7181.155657,False,0.03305000000000291,300.0,0.5,0.0997,0.76,0.1,0.008445804731395992,0.049406514303008686,0.019888350277908515,0.09881302860601737,0.9907080066942234
7181.155657,False,0.03305000000000291,350.0,0.5,0.0997,0.76,0.1,0.009676266956834786,0.04387618487021893,0.02278586739102518,0.08775236974043786,0.9636080109472269
7181.155657,False,0.03305000000000291,400.0,0.5,0.0997,0.76,0.1,0.01037328020302502,0.03964986090955378,0.024427208154806035,0.07929972181910756,1.0303241990314964
7181.155657,False,0.03305000000000291,500.0,0.5,0.0997,0.76,0.1,0.011509668323876501,0.03347435587458553,0.027103197680722155,0.06694871174917107,1.0032107727349464
7181.155657,False,0.03305000000000291,700.0,0.5,0.0997,0.76,0.1,0.013661015748847987,0.02588097092825307,0.03216923372087072,0.05176194185650614,1.0283910078491496
7181.155657,False,0.03305000000000291,250.0,1.0,0.0997,0.76,0.1,0.00830418028008839,0.11335565504047497,0.019554850181102864,0.22671131008094994,0.9947224555169252
7181.155657,False,0.03305000000000291,300.0,1.0,0.0997,0.76,0.1,0.008265763261706548,0.0987968896383447,0.01946438501614698,0.1975937792766894,0.9819537607912369
7181.155657,False,0.03305000000000291,350.0,1.0,0.0997,0.76,0.1,0.009730448098300159,0.08772870501587593,0.022913454229010494,0.17545741003175186,1.007545153811034
7181.155657,False,0.03305000000000291,400.0,1.0,0.0997,0.76,0.1,0.010076087042438764,0.07938097341705,0.023727371743011413,0.1587619468341,0.9848483238942494
7181.155657,False,0.03305000000000291,500.0,1.0,0.0997,0.76,0.1,0.011741633628379286,0.06689972385616119,0.027649434229517017,0.13379944771232238,0.9368074339530741
7181.155657,False,0.03305000000000291,700.0,1.0,0.0997,0.76,0.1,0.013614352248808024,0.051802698012904935,0.03205934957560532,0.10360539602580987,1.0549814690115706
